codigo,Descricao,Data_Movimento,custo_medio,Qt_Saida,OBS
789,CX PAP DUPLO KRAFT REF: 120,2025-10-27 00:00:00.000,6.16,4,correio
789,CX PAP DUPLO KRAFT REF: 120,2025-10-29 00:00:00.000,6.16,4,CORREIO
789,CX PAP DUPLO KRAFT REF: 120,2025-11-03 00:00:00.000,6.16,7,correio
789,CX PAP DUPLO KRAFT REF: 120,2025-11-04 00:00:00.000,6.16,1,correio
789,CX PAP DUPLO KRAFT REF: 120,2025-11-07 00:00:00.000,6.16,4,correio
789,CX PAP DUPLO KRAFT REF: 120,2025-11-11 00:00:00.000,6.16,11,correio
791,CX PAP DUPLO KRAFT REF: 122-386-434/2,2025-09-23 00:00:00.000,8.48,1,correio
791,CX PAP DUPLO KRAFT REF: 122-386-434/2,2025-09-24 00:00:00.000,8.48,6,correio
791,CX PAP DUPLO KRAFT REF: 122-386-434/2,2025-11-17 00:00:00.000,8.48,2,correio
1031,CX PAP DUPLA KRAFT REF: 116,2025-09-25 00:00:00.000,7.4,1,correio
1031,CX PAP DUPLA KRAFT REF: 116,2025-09-26 00:00:00.000,7.4,4,correio
1031,CX PAP DUPLA KRAFT REF: 116,2025-09-29 00:00:00.000,7.4,3,CORREIO EXPEDIÇÃO
1031,CX PAP DUPLA KRAFT REF: 116,2025-10-01 00:00:00.000,7.4,3,correio
1175,CX PAP SIMPLES KRAFT REF 124,2025-10-16 00:00:00.000,3.19,1,correio
1175,CX PAP SIMPLES KRAFT REF 124,2025-10-31 00:00:00.000,3.19,2,CORREIO
1175,CX PAP SIMPLES KRAFT REF 124,2025-11-17 00:00:00.000,3.19,1,correio
1175,CX PAP SIMPLES KRAFT REF 124,2025-11-25 00:00:00.000,3.19,1,CORREIO
1391,CX PAP SIMPLES KRAFT REF: 110,2025-11-13 00:00:00.000,2.68,22,correio
1391,CX PAP SIMPLES KRAFT REF: 110,2025-11-18 00:00:00.000,2.68,3,correio
1391,CX PAP SIMPLES KRAFT REF: 110,2025-11-21 00:00:00.000,2.68,1,correio
1391,CX PAP SIMPLES KRAFT REF: 110,2025-12-02 00:00:00.000,2.68,2,correio
1391,CX PAP SIMPLES KRAFT REF: 110,2025-12-03 00:00:00.000,2.68,1,correio
1392,CX PAP SIMPLES KRAFT REF: 111/ 112,2025-10-10 00:00:00.000,3.26,1,correio
2324,CX PAP SIMPLES KRAFT REF 294/295/296,2025-10-13 00:00:00.000,1.17,1,correio
2492,CX PAP DUPLO KRAFT REF: 074 C/ ABA TOTAL,2025-09-25 00:00:00.000,8.84,1,correio
2492,CX PAP DUPLO KRAFT REF: 074 C/ ABA TOTAL,2025-09-26 00:00:00.000,8.84,1,correio
4477,CX PAP SIMPLES MASTER REF: 260/2,2025-10-31 00:00:00.000,2.98,1,CORREIO
6433,CX PAP MASTER REF 265-268-422/2,2025-09-24 00:00:00.000,1.86,1,correio
6435,CX PAP MASTER REF 265-268-422/3,2025-10-08 00:00:00.000,2.9,2,correio
6435,CX PAP MASTER REF 265-268-422/3,2025-10-10 00:00:00.000,2.9,1,correio
6435,CX PAP MASTER REF 265-268-422/3,2025-10-15 00:00:00.000,2.9,3,CORREIO
7466,CX PAP SIMPLES KRAFT REF: 441,2025-10-21 00:00:00.000,0.92,12,CORREIO
8521,CX PAP SIMPLES PARDA 311/1 S/ IMPRESSÃO,2025-10-27 00:00:00.000,1.65,13,correio
8884,CX PAP SIMPLES PARDA KRAFT REF: 611,2025-09-23 00:00:00.000,3.14,2,correio
8884,CX PAP SIMPLES PARDA KRAFT REF: 611,2025-09-24 00:00:00.000,3.14,3,correio
8884,CX PAP SIMPLES PARDA KRAFT REF: 611,2025-09-29 00:00:00.000,3.14,1,CORREIO EXPEDIÇÃO
8884,CX PAP SIMPLES PARDA KRAFT REF: 611,2025-10-06 00:00:00.000,3.14,2,correio
8884,CX PAP SIMPLES PARDA KRAFT REF: 611,2025-10-13 00:00:00.000,3.14,2,correio
8884,CX PAP SIMPLES PARDA KRAFT REF: 611,2025-10-16 00:00:00.000,3.14,2,correio
8884,CX PAP SIMPLES PARDA KRAFT REF: 611,2025-10-17 00:00:00.000,3.14,1,correio
8884,CX PAP SIMPLES PARDA KRAFT REF: 611,2025-10-27 00:00:00.000,3.14,7,correio
8884,CX PAP SIMPLES PARDA KRAFT REF: 611,2025-10-28 00:00:00.000,3.14,3,correio
8884,CX PAP SIMPLES PARDA KRAFT REF: 611,2025-10-29 00:00:00.000,3.14,1,CORREIO
8884,CX PAP SIMPLES PARDA KRAFT REF: 611,2025-11-07 00:00:00.000,3.14,9,correio
8884,CX PAP SIMPLES PARDA KRAFT REF: 611,2025-11-27 00:00:00.000,3.14,1,correio
