Numero,Data_EM,Codigo,Quantidade,Descricao,Referencia,Pedido,MARCA,GRUPO,ANO,MES,MES-ANO,NUMERO_SEMANA
10125,2023-06-30,5519,3,8385 PR BALIZADOR INJ P/1 LAMP,8385 PR,7231,IOWA,BALIZADOR,2023,6,6-2023,26
10125,2023-06-30,9756,1,8130 PR PENDENTE P/ 1 LAMP E27,8130 PR,7231,OREGON,PENDENTE,2023,6,6-2023,26
10125,2023-06-30,9717,5,8830 PR SPOT DE SOBREPOR QUAD.MR16/GU10,8830 PR,7231,OLYMPA,SPOT,2023,6,6-2023,26
10127,2023-07-03,5519,8,8385 PR BALIZADOR INJ P/1 LAMP,8385 PR,7234,IOWA,BALIZADOR,2023,7,7-2023,27
10127,2023-07-03,1114,3,8119 PR BALIZADOR P/JD E MURO INJ TERM,8119 PR,7234,OREGON,BALIZADOR,2023,7,7-2023,27
10127,2023-07-03,9454,3,8428 PR ARANDELA C/SUP.INF.P/1L E27-SACO,8428 PR,7234,MINESSOTA,ARANDELA,2023,7,7-2023,27
10127,2023-07-03,9444,11,8338 PR ARANDELA INJ P/ 1 LAMP E27-SACO,8338 PR,7234,ASPEN,ARANDELA,2023,7,7-2023,27
10118,2023-06-28,5519,3,8385 PR BALIZADOR INJ P/1 LAMP,8385 PR,7225,IOWA,BALIZADOR,2023,6,6-2023,26
10108,2023-06-26,7029,10,8440 BR ARAND GR INJ P/2 LAMP SAN DIEGO,8440 BR,7216,SAN DIEGO,ARANDELA,2023,6,6-2023,26
10108,2023-06-26,9553,7,8329 PR ARANDELA INJ P/1 LAMP SUP C/ PIN,8329 PR,7216,IOWA,ARANDELA,2023,6,6-2023,26
10108,2023-06-26,9550,6,8328 PR ARANDELA P/1L E27 COM SUP.INFERI,8328 PR,7216,IOWA,ARANDELA,2023,6,6-2023,26
10108,2023-06-26,5518,1,8385 BR BALIZADOR INJ P/1 LAMP,8385 BR,7216,IOWA,BALIZADOR,2023,6,6-2023,26
10108,2023-06-26,9454,1,8428 PR ARANDELA C/SUP.INF.P/1L E27-SACO,8428 PR,7216,MINESSOTA,ARANDELA,2023,6,6-2023,26
10108,2023-06-26,1115,1,8119 BR BALIZADOR P/JD E MURO INJ TERM,8119 BR,7216,OREGON,BALIZADOR,2023,6,6-2023,26
10105,2023-06-23,5519,4,8385 PR BALIZADOR INJ P/1 LAMP,8385 PR,7215,IOWA,BALIZADOR,2023,6,6-2023,25
10105,2023-06-23,1114,3,8119 PR BALIZADOR P/JD E MURO INJ TERM,8119 PR,7215,OREGON,BALIZADOR,2023,6,6-2023,25
10093,2023-06-20,7023,1,8336 BR ARANDELA INJ P/ 1 LAMP ASPEN,8336 BR,7203,ASPEN,ARANDELA,2023,6,6-2023,25
10093,2023-06-20,1114,1,8119 PR BALIZADOR P/JD E MURO INJ TERM,8119 PR,7203,OREGON,BALIZADOR,2023,6,6-2023,25
10093,2023-06-20,38,1,8113 BR PENDENTE INJ EM TERMOPLASTICO,8113 BR,7203,OREGON,PENDENTE,2023,6,6-2023,25
10093,2023-06-20,5519,2,8385 PR BALIZADOR INJ P/1 LAMP,8385 PR,7203,IOWA,BALIZADOR,2023,6,6-2023,25
10078,2023-06-14,1114,4,8119 PR BALIZADOR P/JD E MURO INJ TERM,8119 PR,7197,OREGON,BALIZADOR,2023,6,6-2023,24
10072,2023-06-13,5519,6,8385 PR BALIZADOR INJ P/1 LAMP,8385 PR,7190,IOWA,BALIZADOR,2023,6,6-2023,24
10072,2023-06-13,9717,17,8830 PR SPOT DE SOBREPOR QUAD.MR16/GU10,8830 PR,7190,OLYMPA,SPOT,2023,6,6-2023,24
10067,2023-06-12,1114,2,8119 PR BALIZADOR P/JD E MURO INJ TERM,8119 PR,7186,OREGON,BALIZADOR,2023,6,6-2023,24
10067,2023-06-12,9444,3,8338 PR ARANDELA INJ P/ 1 LAMP E27-SACO,8338 PR,7186,ASPEN,ARANDELA,2023,6,6-2023,24
10067,2023-06-12,9936,2,8150 PR BALIZADOR L/F P/JD E MURO P/1LAM,8150 PR,7186,OREGON,BALIZADOR,2023,6,6-2023,24
10067,2023-06-12,9939,2,8151 PR BALIZADOR L/C P/JD E MURO P/1LAM,8151 PR,7186,OREGON,BALIZADOR,2023,6,6-2023,24
10063,2023-06-09,9727,14,8835 PR SPOT DE SOBREPOR RED.E27-PAR 20,8835 PR,7182,OLYMPA,SPOT,2023,6,6-2023,23
10063,2023-06-09,9940,4,8151 MR BALIZADOR L/C P/JD E MURO P/1LAM,8151 MR,7182,OREGON,BALIZADOR,2023,6,6-2023,23
10063,2023-06-09,10064,7,KIT 8428 PR ARANDELA C/SUP.INF.P/1L E27,KIT 8428 PR,7182,MINESSOTA,ARANDELA,2023,6,6-2023,23
10063,2023-06-09,1114,5,8119 PR BALIZADOR P/JD E MURO INJ TERM,8119 PR,7182,OREGON,BALIZADOR,2023,6,6-2023,23
10063,2023-06-09,9470,10,8125 PR PENDENTE INJ P/1 LAMP E27-SACO,8125 PR,7182,OREGON,PENDENTE,2023,6,6-2023,23
10063,2023-06-09,10065,2,KIT 8428 BR ARANDELA C/SUP.INF.P/1L E27,KIT 8428 BR,7182,MINESSOTA,ARANDELA,2023,6,6-2023,23
10166,2023-07-17,9597,2,8385 MR BALIZADOR INJ P/1 LAMP,8385 MR,7261,IOWA,BALIZADOR,2023,7,7-2023,29
10166,2023-07-17,10064,1,KIT 8428 PR ARANDELA C/SUP.INF.P/1L E27,KIT 8428 PR,7261,MINESSOTA,ARANDELA,2023,7,7-2023,29
10166,2023-07-17,9723,2,8833 PR SPOT DE SOBREPOR RED.MR16/GU10,8833 PR,7261,OLYMPA,SPOT,2023,7,7-2023,29
10166,2023-07-17,9444,7,8338 PR ARANDELA INJ P/ 1 LAMP E27-SACO,8338 PR,7261,ASPEN,ARANDELA,2023,7,7-2023,29
10053,2023-06-05,1114,2,8119 PR BALIZADOR P/JD E MURO INJ TERM,8119 PR,7178,OREGON,BALIZADOR,2023,6,6-2023,23
10053,2023-06-05,9456,3,8428 MR ARANDELA C/SUP.INF.P/1L E27-SACO,8428 MR,7178,MINESSOTA,ARANDELA,2023,6,6-2023,23
10053,2023-06-05,10064,1,KIT 8428 PR ARANDELA C/SUP.INF.P/1L E27,KIT 8428 PR,7178,MINESSOTA,ARANDELA,2023,6,6-2023,23
10053,2023-06-05,39,1,8114 PR ARAND INJ TERMO C/SUPORTE INF,8114 PR,7178,OREGON,ARANDELA,2023,6,6-2023,23
10049,2023-06-02,5518,11,8385 BR BALIZADOR INJ P/1 LAMP,8385 BR,7170,IOWA,BALIZADOR,2023,6,6-2023,22
10049,2023-06-02,1114,1,8119 PR BALIZADOR P/JD E MURO INJ TERM,8119 PR,7170,OREGON,BALIZADOR,2023,6,6-2023,22
10049,2023-06-02,10064,1,KIT 8428 PR ARANDELA C/SUP.INF.P/1L E27,KIT 8428 PR,7170,MINESSOTA,ARANDELA,2023,6,6-2023,22
10045,2023-06-01,9597,4,8385 MR BALIZADOR INJ P/1 LAMP,8385 MR,7165,IOWA,BALIZADOR,2023,6,6-2023,22
10045,2023-06-01,9454,3,8428 PR ARANDELA C/SUP.INF.P/1L E27-SACO,8428 PR,7165,MINESSOTA,ARANDELA,2023,6,6-2023,22
10045,2023-06-01,10064,1,KIT 8428 PR ARANDELA C/SUP.INF.P/1L E27,KIT 8428 PR,7165,MINESSOTA,ARANDELA,2023,6,6-2023,22
10045,2023-06-01,7033,3,8441 PR/LL ARAND PQ INJ P/1LAM SAN DIEGO,8441 PR/LL,7165,SAN DIEGO,ARANDELA,2023,6,6-2023,22
10045,2023-06-01,10064,1,KIT 8428 PR ARANDELA C/SUP.INF.P/1L E27,KIT 8428 PR,7165,MINESSOTA,ARANDELA,2023,6,6-2023,22
10032,2023-05-30,39,1,8114 PR ARAND INJ TERMO C/SUPORTE INF,8114 PR,7159,OREGON,ARANDELA,2023,5,5-2023,22
10032,2023-05-30,1114,2,8119 PR BALIZADOR P/JD E MURO INJ TERM,8119 PR,7159,OREGON,BALIZADOR,2023,5,5-2023,22
10032,2023-05-30,10064,1,KIT 8428 PR ARANDELA C/SUP.INF.P/1L E27,KIT 8428 PR,7159,MINESSOTA,ARANDELA,2023,5,5-2023,22
10032,2023-05-30,39,2,8114 PR ARAND INJ TERMO C/SUPORTE INF,8114 PR,7159,OREGON,ARANDELA,2023,5,5-2023,22
10026,2023-05-29,9445,1,8338 BR ARANDELA INJ P/ 1 LAMP E27-SACO,8338 BR,7152,ASPEN,ARANDELA,2023,5,5-2023,22
10026,2023-05-29,5519,2,8385 PR BALIZADOR INJ P/1 LAMP,8385 PR,7152,IOWA,BALIZADOR,2023,5,5-2023,22
10026,2023-05-29,9459,3,8429 PR ARANDELA C/SUP.SUP.P/1L E27-SACO,8429 PR,7152,MINESSOTA,ARANDELA,2023,5,5-2023,22
10020,2023-05-25,5518,4,8385 BR BALIZADOR INJ P/1 LAMP,8385 BR,7146,IOWA,BALIZADOR,2023,5,5-2023,21
10014,2023-05-25,39,1,8114 PR ARAND INJ TERMO C/SUPORTE INF,8114 PR,7145,OREGON,ARANDELA,2023,5,5-2023,21
10013,2023-05-24,1114,2,8119 PR BALIZADOR P/JD E MURO INJ TERM,8119 PR,7144,OREGON,BALIZADOR,2023,5,5-2023,21
10013,2023-05-24,9454,14,8428 PR ARANDELA C/SUP.INF.P/1L E27-SACO,8428 PR,7144,MINESSOTA,ARANDELA,2023,5,5-2023,21
10013,2023-05-24,9455,2,8428 BR ARANDELA C/SUP.INF.P/1L E27-SACO,8428 BR,7144,MINESSOTA,ARANDELA,2023,5,5-2023,21
10013,2023-05-24,7030,1,8440 PR ARAND GR INJ P/2 LAMP SAN DIEGO,8440 PR,7144,SAN DIEGO,ARANDELA,2023,5,5-2023,21
10008,2023-05-23,5519,1,8385 PR BALIZADOR INJ P/1 LAMP,8385 PR,7142,IOWA,BALIZADOR,2023,5,5-2023,21
10008,2023-05-23,9936,1,8150 PR BALIZADOR L/F P/JD E MURO P/1LAM,8150 PR,7142,OREGON,BALIZADOR,2023,5,5-2023,21
10008,2023-05-23,1114,1,8119 PR BALIZADOR P/JD E MURO INJ TERM,8119 PR,7142,OREGON,BALIZADOR,2023,5,5-2023,21
10008,2023-05-23,7030,1,8440 PR ARAND GR INJ P/2 LAMP SAN DIEGO,8440 PR,7142,SAN DIEGO,ARANDELA,2023,5,5-2023,21
10005,2023-05-22,9439,2,8337 PR PENDENTE INJ P/1 LAMP E27-SACO,8337 PR,7138,ASPEN,PENDENTE,2023,5,5-2023,21
10005,2023-05-22,1114,8,8119 PR BALIZADOR P/JD E MURO INJ TERM,8119 PR,7138,OREGON,BALIZADOR,2023,5,5-2023,21
10005,2023-05-22,5519,6,8385 PR BALIZADOR INJ P/1 LAMP,8385 PR,7138,IOWA,BALIZADOR,2023,5,5-2023,21
10005,2023-05-22,7030,2,8440 PR ARAND GR INJ P/2 LAMP SAN DIEGO,8440 PR,7138,SAN DIEGO,ARANDELA,2023,5,5-2023,21
10005,2023-05-22,9454,3,8428 PR ARANDELA C/SUP.INF.P/1L E27-SACO,8428 PR,7138,MINESSOTA,ARANDELA,2023,5,5-2023,21
