codigo,descricao,soma,media,calculo,minimo,maximo,variancia,amplitude,desvio_padrao,frequencia,quantidade_median,quantidade_q1,quantidade_q3,frequencia_relativa
10064,KIT 8428 PR ARANDELA C/SUP.INF.P/1L E27,15,1.6666666666666667,8.0,1,7,4.0,6,2.0,9,1.0,1.0,1.0,0.0026
10065,KIT 8428 BR ARANDELA C/SUP.INF.P/1L E27,2,2.0,,2,2,,0,,1,2.0,2.0,2.0,0.0003
10066,KIT 8428 MR ARANDELA C/SUP.INF.P/1L E27,2,1.0,1.0,1,1,0.0,0,0.0,2,1.0,1.0,1.0,0.0006
10084,81034 BR PLAFON EM ALUMINIO P/2 E27,9,1.8,3.0,1,2,0.2,1,0.4472135954999579,5,2.0,2.0,2.0,0.0015
10085,81034 PR PLAFON EM ALUMINIO P/2 E27,17,1.4166666666666667,3.0,1,2,0.2651515151515152,1,0.5149286505444373,12,1.0,1.0,2.0,0.0035
10086,81034 CO PLAFON EM ALUMINIO P/2 E27,2,1.0,1.0,1,1,0.0,0,0.0,2,1.0,1.0,1.0,0.0006
10113,81040 ARANDELA INJ PRETA 15CM LC/ABERTA,2,2.0,,2,2,,0,,1,2.0,2.0,2.0,0.0003
10115,81040 ARANDELA INJ MARROM 15CM LC/ABERTA,5,5.0,,5,5,,0,,1,5.0,5.0,5.0,0.0003
10116,81041 ARANDELA INJ PRETO 15CM LL/ABERTA,12,12.0,,12,12,,0,,1,12.0,12.0,12.0,0.0003
10117,81041 ARANDELA INJ BRANCA 15CM LL/ABERTA,3,3.0,,3,3,,0,,1,3.0,3.0,3.0,0.0003
10122,81043 ARANDELA INJ PRETO 15CM LL/HORIZO,6,6.0,,6,6,,0,,1,6.0,6.0,6.0,0.0003
10126,81044 ARANDELA INJ PRETA 15CM LC/GRADE X,35,3.1818181818181817,9.0,1,7,4.363636363636363,6,2.088931871468374,11,3.0,1.5,4.5,0.0032
10127,81044 ARANDELA INJ MARROM 15CM LC/GRADEX,4,4.0,,4,4,,0,,1,4.0,4.0,4.0,0.0003
10359,81050 BR ARANDELA EM ALUMINIO CUPULA,60,2.142857142857143,6.0,1,7,1.3862433862433858,6,1.1773883752795362,28,2.0,2.0,2.0,0.0081
