codigo;descricao;soma;media;calculo;minimo;maximo;variancia;amplitude;desvio_padrao;frequencia;quantidade_median;quantidade_q1;quantidade_q3;frequencia_relativa;frequencia_acumulada;frequencia_relativa_acumulada
9780;8136 PR PENDENTE INJ P/1 LAMP E27 L/C;580;3;11;1;18;7;17;3;184;2;2;4;13,61%;184;13,61%
33;8117 PR POSTE C/TUBO AL P/2 LAMP INJ TER;234;2;3;1;4;0;3;1;155;1;1;2;11,46%;339;25,07%
47;8122 PR POSTE C/TUBO AL P/2 LAMP INJ TER;219;1;3;1;3;0;2;1;151;1;1;2;11,17%;490;36,24%
278;8237 PR ARANDELA INJ P/ 1 LAMP;208;4;12;1;9;7;8;3;53;3;2;5;3,92%;543;40,16%
1114;8119 PR BALIZADOR P/JD E MURO INJ TERM;144;3;13;1;15;9;14;3;43;2;1,5;4;3,18%;586;43,34%
9470;8125 PR PENDENTE INJ P/1 LAMP E27-SACO;192;5;11;1;12;5;11;2;41;4;4;4;3,03%;627;46,38%
9939;8151 PR BALIZADOR L/C P/JD E MURO P/1LAM;99;3;9;1;12;5;11;2;36;2;2;3;2,66%;663;49,04%
9480;8127 PR ARANDELA C/SUP.INF.P/1L E27-SACO;77;2;8;1;6;3;5;2;32;2;1;3;2,37%;695;51,41%
9936;8150 PR BALIZADOR L/F P/JD E MURO P/1LAM;78;3;10;1;11;5;10;2;28;2;2;3;2,07%;723;53,48%
10457;81060 DOURADO ARANDELA AL CUPULA CRU NAT;44;2;3;1;2;0;1;0;26;2;1;2;1,92%;749;55,40%
4520;8320 PR ARANDELA REDONDA INJ P/ 1 LAMP;69;3;8;1;6;3;5;2;23;2;2;4,5;1,70%;772;57,10%
9771;8133 PR BALIZADOR P/1 LAMP E27;41;2;15;1;21;19;20;4;21;1;1;1;1,55%;793;58,65%
9786;8137 MR ARANDELA C/SUP.INF.P/1L E27 L/C;47;2;8;1;8;3;7;2;20;2;1;2,25;1,48%;813;60,13%
9779;8136 BR PENDENTE INJ P/1 LAMP E27 L/C;39;2;6;1;5;1;4;1;18;2;1,25;2;1,33%;831;61,46%
9454;8428 PR ARANDELA C/SUP.INF.P/1L E27-SACO;55;3;10;1;10;4;9;2;17;3;2;4;1,26%;848;62,72%
9924;8426 PR BALIZADOR P/JD E MURO P/1 LAMP;76;4;10;1;6;3;5;2;17;5;3;6;1,26%;865;63,98%
31;8116 PR POSTE C/TUBO AL P/1 LAMP INJ TER;40;3;5;2;4;1;2;1;16;2;2;2,5;1,18%;881;65,16%
10405;81053 BR ARANDELA EM ALUMINIO 1 LAMP;28;2;4;1;4;1;3;1;15;2;1,5;2;1,11%;896;66,27%
34;8117 BR POSTE C/TUBO AL P/2 LAMP INJ TER;20;1;3;1;2;0;1;0;15;1;1;2;1,11%;911;67,38%
9924;8426 PR BALIZADOR P/JD E MURO P/1 LAMP ;51;3;13;1;12;11;11;3;15;2;1,5;3,5;1,11%;926;68,49%
5507;8384 PR ARANDELA INJ P/1 LAMP SUP C/ PIN;44;3;9;1;6;4;5;2;14;2;2;4,75;1,04%;940;69,53%
10475;81064 DOURADO ARANDELA AL CUPULA CRU NAT;21;2;3;1;2;0;1;1;13;2;1;2;0,96%;953;70,49%
4519;8320 BR ARANDELA REDONDA INJ P/ 1 LAMP;19;2;3;1;2;0;1;1;12;2;1;2;0,89%;965;71,38%
4531;8341 BR ARANDELA INJ P/ 1 LAMP ;24;2;5;1;4;1;3;1;12;2;1,75;2;0,89%;977;72,26%
48;8122 BR POSTE C/TUBO AL P/2 LAMP INJ TER;22;2;5;1;3;1;2;1;12;1,5;1;3;0,89%;989;73,15%
9475;8126 PR ARANDELA C/SUP.INF.P/1L E27-SACO;37;3;11;1;10;6;9;3;12;2;2;2,5;0,89%;1001;74,04%
9837;8244 PR ARANDELA P/1LAMP E27 LENTE TRANS;42;4;12;1;8;7;7;3;12;2,5;1;5,25;0,89%;1013;74,93%
266;8243 PR PROJ INJ P/ 1 LAMP PAR 20/30/38;31;3;7;1;5;2;4;1;11;3;2;4;0,81%;1024;75,74%
9455;8428 BR ARANDELA C/SUP.INF.P/1L E27-SACO;25;2;6;1;5;1;4;1;11;2;2;2;0,81%;1035;76,55%
9459;8429 PR ARANDELA C/SUP.SUP.P/1L E27-SACO;27;2;8;1;5;3;4;2;11;2;1;4;0,81%;1046;77,37%
9456;8428 MR ARANDELA C/SUP.INF.P/1L E27-SACO;26;3;12;1;10;8;9;3;9;2;1;3;0,67%;1055;78,03%
1115;8119 BR BALIZADOR P/JD E MURO INJ TERM ;34;4;13;1;8;9;7;3;8;4;1,75;6,5;0,59%;1063;78,62%
9444;8338 PR ARANDELA INJ P/ 1 LAMP E27-SACO;38;5;12;1;10;7;9;3;8;4;4;5,25;0,59%;1071;79,22%
9612;8237 MR ARANDELA INJ P/ 1 LAMP;36;5;12;1;8;6;7;2;8;4;3;5,75;0,59%;1079;79,81%
9785;8137 PR ARANDELA C/SUP.INF.P/1L E27 L/C;36;5;14;2;9;9;7;3;8;3,5;2;6;0,59%;1087;80,40%
9819;8835 MR SPOT DE SOBREPOR RED.E-27 PAR 20;50;6;18;1;10;15;9;4;8;6,5;3;10;0,59%;1095;80,99%
9935;8150 BR BALIZADOR L/F P/JD E MURO P/1LAM;16;2;5;1;4;1;3;1;8;2;1,75;2;0,59%;1103;81,58%
5519;8385 PR BALIZADOR INJ P/1 LAMP ;50;7;30;2;24;59;22;8;7;4;3;7;0,52%;1110;82,10%
7919;8394 PR/LC ARANDELA INJ P/1 LAMP SACO PL;30;4;12;1;9;7;8;3;7;4;2,5;5,5;0,52%;1117;82,62%
9439;8337 PR PENDENTE INJ P/1 LAMP E27-SACO;22;3;8;2;6;2;4;1;7;3;2;3,5;0,52%;1124;83,14%
9472;8125 MR PENDENTE INJ P/1 LAMP E27-SACO;13;2;3;1;2;0;1;0;7;2;2;2;0,52%;1131;83,65%
9476;8126 BR ARANDELA C/SUP.INF.P/1L E27-SACO;19;3;6;1;4;2;3;1;7;2;2;4;0,52%;1138;84,17%
9831;8144 PR POSTE P/2 LAMP E27 LENTE CRISTAL;9;1;3;1;2;0;1;0;7;1;1;1,5;0,52%;1145;84,69%
279;8237 BR ARANDELA INJ P/ 1 LAMP;21;4;8;2;5;2;3;1;6;3,5;2,25;4,75;0,44%;1151;85,13%
41;8115 PR ARAND INJ TERMO C/ SUPORTE SUP ;6;1;1;1;1;0;0;0;6;1;1;1;0,44%;1157;85,58%
4532;8341 PR ARANDELA INJ P/ 1 LAMP ;15;3;9;1;6;4;5;2;6;1,5;1;3,5;0,44%;1163;86,02%
9481;8127 BR ARANDELA C/SUP.SUP.P/1L E27-SACO;9;2;3;1;2;0;1;1;6;1,5;1;2;0,44%;1169;86,46%
9597;8385 MR BALIZADOR INJ P/1 LAMP ;14;2;6;1;4;2;3;1;6;2;1,25;3,5;0,44%;1175;86,91%
9821;8140 PR PENDENTE P/1 LAMP E27 LENTE CRIS;13;2;6;1;4;1;3;1;6;2;1,25;2,75;0,44%;1181;87,35%
9836;8244 BR ARANDELA P/1LAMP E27 LENTE TRANS;28;5;16;1;12;15;11;4;6;4;2,25;5;0,44%;1187;87,80%
10085;81034 PR PLAFON EM ALUMINIO P/2 E27;7;1;3;1;2;0;1;1;5;1;1;2;0,37%;1192;88,17%
10558;8148 PR POSTE C/TUBO AL P/1 LAMP 1 METRO;15;3;9;1;6;4;5;2;5;2;2;4;0,37%;1197;88,54%
9461;8429 MR ARANDELA C/SUP.SUP.P/1L E27-SACO;23;5;10;2;6;4;4;2;5;6;3;6;0,37%;1202;88,91%
9585;8341 MR ARANDELA INJ P/ 1 LAMP;10;2;5;1;3;1;2;1;5;2;1;3;0,37%;1207;89,28%
9585;8341 MR ARANDELA INJ P/ 1 LAMP ;19;4;11;2;8;6;6;2;5;3;2;4;0,37%;1212;89,64%
9725;8834 PR SPOT DE SOBREPOR QUA. E27-PAR 20;45;9;38;1;25;91;24;10;5;5;4;10;0,37%;1217;90,01%
9726;8835 BR SPOT DE SOBREPOR RED.E-27 PAR 20;20;4;10;2;7;4;5;2;5;3;3;5;0,37%;1222;90,38%
9817;8833 MR SPOT DE SOBREPOR RED.MR16/GU10 ;17;3;7;1;4;2;3;1;5;4;4;4;0,37%;1227;90,75%
9834;8145 PR BALIZADOR P/1 LAMP E27 LENTE CRI;8;2;3;1;2;0;1;1;5;2;1;2;0,37%;1232;91,12%
10359;81050 BR ARANDELA EM ALUMINIO CUPULA;7;2;3;1;2;0;1;1;4;2;1,75;2;0,30%;1236;91,42%
257;8240 PR PROJETOR AL P/1 LAM PAR 20/30/38;22;6;18;2;10;17;8;4;4;5;2;8,5;0,30%;1240;91,72%
43;8120 PR POSTE C/TUBO AL P/1 LAMP INJ TER;6;2;3;1;2;0;1;1;4;1,5;1;2;0,30%;1244;92,01%
9553;8329 PR ARANDELA INJ P/1 LAMP SUP C/ PIN;11;3;6;2;4;1;2;1;4;2,5;2;3,25;0,30%;1248;92,31%
9719;8831 PR SPOT DE SOBREPOR RED.MR16/GU10;20;5;15;2;10;12;8;3;4;4;3,5;5,5;0,30%;1252;92,60%
9933;8147 PR BALIZADOR L/C P/JD E MURO P/1LAM;4;1;1;1;1;0;0;0;4;1;1;1;0,30%;1256;92,90%
9938;8151 BR BALIZADOR L/C P/JD E MURO P/1LAM;12;3;5;2;4;1;2;1;4;3;2,75;3,25;0,30%;1260;93,20%
10360;81050 PR ARANDELA EM ALUMINIO CUPULA;4;1;3;1;2;0;1;1;3;1;1;1,5;0,22%;1263;93,42%
10458;81061 DOURADO ARANDELA AL CUPULA PRETA;8;3;6;2;4;1;2;1;3;2;2;3;0,22%;1266;93,64%
5510;8383 PR ARANDELA INJ P/1 LAMP INF C/ PIN;8;3;9;1;5;4;4;2;3;2;1,5;3,5;0,22%;1269;93,86%
9723;8833 PR SPOT DE SOBREPOR RED.MR16/GU10 ;9;3;6;2;4;1;2;1;3;3;2,5;3,5;0,22%;1272;94,08%
9727;8835 PR SPOT DE SOBREPOR RED.E27-PAR 20;9;3;6;2;4;1;2;1;3;3;2,5;3,5;0,22%;1275;94,30%
9824;8141 PR ARAN SUP.INFERIOR LENTE CRISTAL;5;2;5;1;3;1;2;1;3;1;1;2;0,22%;1278;94,53%
9923;8426 BR BALIZADOR P/JD E MURO P/1 LAMP ;7;2;7;1;4;2;3;2;3;2;1,5;3;0,22%;1281;94,75%
9937;8150 MR BALIZADOR L/F P/JD E MURO P/1LAM;4;1;3;1;2;0;1;1;3;1;1;1,5;0,22%;1284;94,97%
10086;81034 CO PLAFON EM ALUMINIO P/2 E27;2;1;1;1;1;0;0;0;2;1;1;1;0,15%;1286;95,12%
10126;81044 ARANDELA INJ PRETA 15CM LC/GRADE X;5;3;9;1;4;5;3;2;2;2,5;1,75;3,25;0,15%;1288;95,27%
10666;81090 ARANDELA INJ PRETA E27 LC/OVAL;10;5;22;1;9;32;8;6;2;5;3;7;0,15%;1290;95,41%
10686;81091 ARAND INJ MARROM E27 LC / TRIANG;10;5;13;3;7;8;4;3;2;5;4;6;0,15%;1292;95,56%
25;8110 PR PENDENTE INJ EM TERMOPLASTICO ;7;4;10;2;5;5;3;2;2;3,5;2,75;4,25;0,15%;1294;95,71%
27;8111 PR ARAND INJ TERMO C/SUPORTE INF ;8;4;12;2;6;8;4;3;2;4;3;5;0,15%;1296;95,86%
5506;8384 BR ARANDELA INJ P/1 LAMP SUP C/ PIN;3;2;4;1;2;1;1;1;2;1,5;1,25;1,75;0,15%;1298;96,01%
5518;8385 BR BALIZADOR INJ P/1 LAMP;11;6;16;3;8;13;5;4;2;5,5;4,25;6,75;0,15%;1300;96,15%
5534;8431 PR ARANDELA INJ P/ 1 LAMP C/SUP INF;2;1;1;1;1;0;0;0;2;1;1;1;0,15%;1302;96,30%
7030;8440 PR ARAND GR INJ P/2 LAMP SAN DIEGO;4;2;6;1;3;2;2;1;2;2;1,5;2,5;0,15%;1304;96,45%
9605;8119 MR BALIZADOR P/JD E MURO INJ TERM ;3;2;4;1;2;1;1;1;2;1,5;1,25;1,75;0,15%;1306;96,60%
9606;8320 MR ARANDELA REDONDA INJ P/ 1 LAMP;9;5;7;4;5;1;1;1;2;4,5;4,25;4,75;0,15%;1308;96,75%
9722;8833 BR SPOT DE SOBREPOR RED.MR16/GU10 ;11;6;16;3;8;13;5;4;2;5,5;4,25;6,75;0,15%;1310;96,89%
9840;8323 PR ARANDELA P/1 LAMP E27 LENTE TRAN;13;7;30;1;12;61;11;8;2;6,5;3,75;9,25;0,15%;1312;97,04%
10084;81034 BR PLAFON EM ALUMINIO P/2 E27;2;2;;2;2;;0;;1;2;2;2;0,07%;1313;97,12%
10406;81053 PR ARANDELA EM ALUMINIO 1 LAMP;2;2;;2;2;;0;;1;2;2;2;0,07%;1314;97,19%
10465;81065 DOURADO ARANDELA AL CUPULA PRETA;7;7;;7;7;;0;;1;7;7;7;0,07%;1315;97,26%
10685;81091 ARAND INJ BRANCA E27 LC / TRIANG;4;4;;4;4;;0;;1;4;4;4;0,07%;1316;97,34%
