codigo,descricao,soma,media,calculo,minimo,maximo,variancia,amplitude,desvio_padrao,frequencia,quantidade_median,quantidade_q1,quantidade_q3,frequencia_relativa,qtd_1_emb,qtd_2_emb,qtd_3_emb,qtd_4_emb,qtd_5_emb,qtd_6_emb,qtd_7_emb,qtd_8_emb,qtd_9_emb,qtd_10_emb,qtd_11_emb,qtd_12_emb,qtd_14_emb,qtd_15_emb,qtd_18_emb,qtd_21_emb,qtd_24_emb,qtd_25_emb
10084,81034 BR PLAFON EM ALUMINIO P/2 E27,7,3.5,7.0,2,5,4.5,3,2.1213203435596424,2,3.5,2.75,4.25,0.0021,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10085,81034 PR PLAFON EM ALUMINIO P/2 E27,7,1.75,4.0,1,4,2.25,3,1.5,4,1.0,1.0,1.75,0.0041,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10086,81034 CO PLAFON EM ALUMINIO P/2 E27,2,1.0,1.0,1,1,0.0,0,0.0,2,1.0,1.0,1.0,0.0021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10113,81040 ARANDELA INJ PRETA 15CM LC/ABERTA,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10126,81044 ARANDELA INJ PRETA 15CM LC/GRADE X,5,2.5,6.0,1,4,4.5,3,2.1213203435596424,2,2.5,1.75,3.25,0.0021,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10359,81050 BR ARANDELA EM ALUMINIO CUPULA,14,1.75,4.0,1,6,3.0714285714285716,5,1.7525491637693282,8,1.0,1.0,1.25,0.0082,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10360,81050 PR ARANDELA EM ALUMINIO CUPULA,8,1.6,2.0,1,2,0.3,1,0.5477225575051661,5,2.0,1.0,2.0,0.0051,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10405,81053 BR ARANDELA EM ALUMINIO 1 LAMP,33,2.2,4.0,1,6,1.742857142857143,5,1.3201731488169055,15,2.0,1.5,2.0,0.0154,0.3684,0.5789,0.0,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10406,81053 PR ARANDELA EM ALUMINIO 1 LAMP,2,2.0,,2,2,,0,,1,2.0,2.0,2.0,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10457,81060 DOURADO ARANDELA AL CUPULA CRU NAT,64,4.571428571428571,10.0,1,12,14.263736263736263,11,3.776736191970027,14,2.0,2.0,6.0,0.0144,0.2222,0.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10458,81061 DOURADO ARANDELA AL CUPULA PRETA,15,2.5,6.0,1,6,4.3,5,2.073644135332772,6,1.5,1.0,3.5,0.0062,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10465,81065 DOURADO ARANDELA AL CUPULA PRETA,7,7.0,,7,7,,0,,1,7.0,7.0,7.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10475,81064 DOURADO ARANDELA AL CUPULA CRU NAT,21,2.625,5.0,1,5,2.267857142857143,4,1.5059406173077154,8,2.0,1.75,4.0,0.0082,0.3846,0.6154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10558,8148 PR POSTE C/TUBO AL P/1 LAMP 1 METRO,17,4.25,12.0,1,12,26.916666666666668,11,5.188127472091127,4,2.0,1.75,4.5,0.0041,0.1667,0.5,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10559,8148 BR POSTE C/TUBO AL P/1 LAMP 1 METRO,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10666,81090 ARANDELA INJ PRETA E27 LC/OVAL,12,4.0,12.0,1,10,27.0,9,5.196152422706632,3,1.0,1.0,5.5,0.0031,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10679,81090 ARANDELA INJ BRANCA E27 LC/OVAL,11,5.5,7.0,5,6,0.5,1,0.7071067811865476,2,5.5,5.25,5.75,0.0021,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10680,81090 ARANDELA INJ MR E27 LC / OVAL,4,4.0,,4,4,,0,,1,4.0,4.0,4.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10681,81092 ARANDELA INJ PRETA E27 LL / OVAL,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10685,81091 ARAND INJ BRANCA E27 LC / TRIANG,4,4.0,,4,4,,0,,1,4.0,4.0,4.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10686,81091 ARAND INJ MARROM E27 LC / TRIANG,10,10.0,,10,10,,0,,1,10.0,10.0,10.0,0.001,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10688,81093 ARAND INJ BRANCO E27 LL / TRIANG,12,6.0,14.0,2,10,32.0,8,5.656854249492381,2,6.0,4.0,8.0,0.0021,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10826,EC 8136 PR PENDENTE INJ P/1 LAMP E27 L/C,215,23.88888888888889,40.0,8,40,121.61111111111111,32,11.027742793115513,9,25.0,17.0,29.0,0.0092,0.3976,0.2771,0.1084,0.0602,0.0602,0.0361,0.012,0.0241,0.0,0.0,0.012,0.012,0.0,0.0,0.0,0.0,0.0,0.0
10827,EC 8117 PR POSTE C/TUBO AL P/2 LAMP INJ,99,11.0,21.0,3,23,48.0,20,6.928203230275509,9,10.0,6.0,13.0,0.0092,0.9355,0.0645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10828,EC 8122 PR POSTE C/TUBO AL P/2 LAMP INJ,49,7.0,15.0,2,17,27.0,15,5.196152422706632,7,5.0,3.5,9.0,0.0072,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10829,EC 8338 PR ARANDELA INJ P/1 LAM E27-SACO,4,1.3333333333333333,2.0,1,2,0.3333333333333333,1,0.5773502691896257,3,1.0,1.0,1.5,0.0031,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10830,EC 8119 PR BALIZADOR P/JD E MURO INJ TER,48,6.857142857142857,13.0,2,12,14.476190476190474,10,3.804758924845367,7,6.0,4.0,10.0,0.0072,0.0,0.3333,0.0,0.5,0.0,0.0833,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10831,EC 8237 PR ARANDELA INJ P/ 1 LAMP,115,14.375,30.0,1,33,108.55357142857146,32,10.418904521521034,8,15.5,6.25,18.25,0.0082,0.3,0.1,0.2,0.2,0.0,0.0,0.0,0.0333,0.1333,0.0,0.0,0.0,0.0333,0.0,0.0,0.0,0.0,0.0
10833,EC 8385 PR BALIZADOR INJ P/1 LAMP,27,3.857142857142857,9.0,1,12,13.809523809523808,11,3.7161167647860323,7,3.0,2.0,3.5,0.0072,0.4,0.2,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10834,EC 8125 PR PENDENTE INJ P/1 LAM E27-SACO,26,13.0,28.0,6,20,98.0,14,9.899494936611665,2,13.0,9.5,16.5,0.0021,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10835,EC 81060 DOURADO ARAND AL CUPULA CRU NAT,48,5.333333333333333,11.0,1,11,13.0,10,3.605551275463989,9,4.0,3.0,8.0,0.0092,0.2857,0.7143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
