codigo,descricao,quantidade,soma,frequencia,frequencia_relativa
10064,KIT 8428 PR ARANDELA C/SUP.INF.P/1L E27,1,8,8,0.8889
10064,KIT 8428 PR ARANDELA C/SUP.INF.P/1L E27,7,7,1,0.1111
10065,KIT 8428 BR ARANDELA C/SUP.INF.P/1L E27,2,2,1,1.0
10066,KIT 8428 MR ARANDELA C/SUP.INF.P/1L E27,1,2,2,1.0
10084,81034 BR PLAFON EM ALUMINIO P/2 E27,1,1,1,0.2
10084,81034 BR PLAFON EM ALUMINIO P/2 E27,2,8,4,0.8
10085,81034 PR PLAFON EM ALUMINIO P/2 E27,1,7,7,0.5833
10085,81034 PR PLAFON EM ALUMINIO P/2 E27,2,10,5,0.4167
10086,81034 CO PLAFON EM ALUMINIO P/2 E27,1,2,2,1.0
10113,81040 ARANDELA INJ PRETA 15CM LC/ABERTA,2,2,1,1.0
10115,81040 ARANDELA INJ MARROM 15CM LC/ABERTA,5,5,1,1.0
10116,81041 ARANDELA INJ PRETO 15CM LL/ABERTA,12,12,1,1.0
10117,81041 ARANDELA INJ BRANCA 15CM LL/ABERTA,3,3,1,1.0
10122,81043 ARANDELA INJ PRETO 15CM LL/HORIZO,6,6,1,1.0
10126,81044 ARANDELA INJ PRETA 15CM LC/GRADE X,1,3,3,0.2727
10126,81044 ARANDELA INJ PRETA 15CM LC/GRADE X,2,4,2,0.1818
10126,81044 ARANDELA INJ PRETA 15CM LC/GRADE X,3,6,2,0.1818
10126,81044 ARANDELA INJ PRETA 15CM LC/GRADE X,4,4,1,0.0909
10126,81044 ARANDELA INJ PRETA 15CM LC/GRADE X,5,5,1,0.0909
10126,81044 ARANDELA INJ PRETA 15CM LC/GRADE X,6,6,1,0.0909
10126,81044 ARANDELA INJ PRETA 15CM LC/GRADE X,7,7,1,0.0909
10127,81044 ARANDELA INJ MARROM 15CM LC/GRADEX,4,4,1,1.0
10359,81050 BR ARANDELA EM ALUMINIO CUPULA,1,5,5,0.1786
10359,81050 BR ARANDELA EM ALUMINIO CUPULA,2,40,20,0.7143
10359,81050 BR ARANDELA EM ALUMINIO CUPULA,4,8,2,0.0714
10359,81050 BR ARANDELA EM ALUMINIO CUPULA,7,7,1,0.0357
10360,81050 PR ARANDELA EM ALUMINIO CUPULA,1,7,7,0.2917
10360,81050 PR ARANDELA EM ALUMINIO CUPULA,2,18,9,0.375
